"id","citrus fruit","tropical fruit","whole milk","other vegetables","rolls/buns","chocolate","bottled water","yogurt","sausage","root vegetables","pastry","soda","cream","basket_value","recency_days","cluster0","cluster1","cluster2","cluster3","cluster4","low_value_basket","medium_value_basket","high_value_basket"
1,"Yes",,,,,,,,,,,,,1.1,2,,,,,"Yes","Yes",,
2,,"Yes",,,,,,"Yes",,,,,,3.6,31,,,,"Yes",,,"Yes",
3,,,"Yes",,,,,,,,,,,1.2,7,,,,,"Yes","Yes",,
4,,,,,,,,"Yes",,,,,"Yes",6.6,7,"Yes",,,,,,,"Yes"
5,,,"Yes","Yes",,,,,,,,,,2.5,66,,,"Yes",,,"Yes",,
6,,,"Yes",,,,,"Yes",,,,,,2.7,61,,,"Yes",,,"Yes",,
7,,,,,"Yes",,,,,,,,,2.2,67,,,"Yes",,,"Yes",,
8,,,,"Yes","Yes",,,,,,,,,3.5,47,,,,"Yes",,,"Yes",
10,,,"Yes",,,,,,,,,,,1.2,7,,,,,"Yes","Yes",,
11,,"Yes",,"Yes",,"Yes","Yes",,,,,,,7.9,17,"Yes",,,,,,,"Yes"
12,"Yes","Yes","Yes",,,,"Yes","Yes",,,,,,7.3,24,"Yes",,,,,,,"Yes"
14,,,,,"Yes",,,,,,,"Yes",,3.9,47,,,,"Yes",,,"Yes",
15,,"Yes",,,,,,,,,,,,2.1,72,,,"Yes",,,"Yes",,
19,,,,,,"Yes",,,,,,,,3.1,47,,,,"Yes",,,"Yes",
21,,,,"Yes",,,,,,,,,,1.3,9,,,,,"Yes","Yes",,
22,,,,,,,,,,,"Yes",,,4.1,76,,,"Yes",,,,"Yes",
23,,,"Yes",,,,,,,,,,,1.2,7,,,,,"Yes","Yes",,
24,,"Yes",,,,,,,,,,,"Yes",7.2,3,"Yes",,,,,,,"Yes"
25,,"Yes",,"Yes","Yes",,,,,"Yes",,,,7.2,21,"Yes",,,,,,,"Yes"
26,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
27,,,,,,,,"Yes",,,,,,1.5,73,,,"Yes",,,"Yes",,
28,,,,,"Yes","Yes",,,"Yes",,,"Yes",,11.9,11,"Yes",,,,,,,"Yes"
29,,,,"Yes",,,,,,,,,,1.3,9,,,,,"Yes","Yes",,
30,,,,,,,,,,,,"Yes",,1.7,52,,,"Yes",,,"Yes",,
31,,,,,,,"Yes","Yes",,,,,,2.9,38,,,,"Yes",,,"Yes",
32,,,,"Yes","Yes",,"Yes",,,,,,,4.9,28,,,,"Yes",,,"Yes",
33,,,"Yes","Yes",,,,,,"Yes",,,,4.1,47,,,,"Yes",,,"Yes",
34,,,"Yes","Yes",,,,,,,,"Yes","Yes",9.3,9,"Yes",,,,,,,"Yes"
36,,,,,,,,,,,"Yes","Yes",,5.8,76,,,"Yes",,,,"Yes",
39,,,"Yes","Yes",,,,,,"Yes",,,,4.1,49,,,,"Yes",,,"Yes",
40,"Yes",,,,,,,,,,,,,1.1,2,,,,,"Yes","Yes",,
41,,,,,"Yes",,,,"Yes",,,"Yes",,8.8,5,"Yes",,,,,,,"Yes"
42,,"Yes","Yes",,,,,"Yes",,"Yes","Yes","Yes",,12.2,76,,"Yes",,,,,,"Yes"
43,,,,,,,,"Yes",,,,,,1.5,66,,,"Yes",,,"Yes",,
45,,,,,"Yes",,"Yes","Yes",,,,"Yes","Yes",11.9,6,"Yes",,,,,,,"Yes"
47,,,,,,,"Yes",,,,"Yes",,,5.5,76,,,"Yes",,,,"Yes",
48,,,,,"Yes",,,,,,,,,2.2,73,,,"Yes",,,"Yes",,
50,,,,"Yes","Yes",,"Yes",,,"Yes",,,"Yes",11.6,4,"Yes",,,,,,,"Yes"
51,,,,,"Yes",,,,"Yes",,,,,7.1,2,"Yes",,,,,,,"Yes"
53,,,"Yes","Yes",,,,,,,,,,2.5,71,,,"Yes",,,"Yes",,
54,,"Yes",,"Yes",,,,,,,,,,3.4,30,,,,"Yes",,,"Yes",
55,,,"Yes",,,,,"Yes",,,,"Yes",,4.4,27,,,,"Yes",,,"Yes",
56,,,"Yes",,,,,"Yes",,,"Yes",,,6.8,76,,"Yes",,,,,,"Yes"
58,,,,,"Yes","Yes","Yes",,,,,,,6.7,2,"Yes",,,,,,,"Yes"
59,,,,,"Yes",,,,,,,,"Yes",7.3,22,"Yes",,,,,,,"Yes"
60,,,,,"Yes",,,,,,"Yes",,,6.3,76,,,"Yes",,,,,"Yes"
61,,,"Yes","Yes",,,,,,,,,,2.5,69,,,"Yes",,,"Yes",,
62,,,,,,,,,"Yes",,"Yes",,,9,76,,"Yes",,,,,,"Yes"
63,,,"Yes",,,,,,"Yes",,,,,6.1,10,"Yes",,,,,,,"Yes"
64,,"Yes",,,"Yes",,,,,,,,,4.3,35,,,,"Yes",,,"Yes",
65,,,,,"Yes",,,,,,"Yes","Yes",,8,76,,"Yes",,,,,,"Yes"
66,,,"Yes",,,,,,,,,,,1.2,7,,,,,"Yes","Yes",,
69,,,"Yes",,,,,,"Yes",,,,,6.1,1,"Yes",,,,,,,"Yes"
70,,"Yes","Yes",,"Yes","Yes",,,,,,,,8.6,16,"Yes",,,,,,,"Yes"
72,,,"Yes",,,"Yes",,,,,,,,4.3,50,,,,"Yes",,,"Yes",
73,"Yes",,"Yes",,,"Yes",,,,,,,,5.4,69,,,"Yes",,,,"Yes",
74,,,"Yes",,,,,,,,,"Yes",,2.9,35,,,,"Yes",,,"Yes",
76,,,"Yes","Yes","Yes",,,,,,,,,4.7,31,,,,"Yes",,,"Yes",
77,"Yes",,"Yes",,,,,,,,"Yes",,,6.4,76,,,"Yes",,,,,"Yes"
78,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
79,,,,,,,"Yes",,,,,"Yes",,3.1,34,,,,"Yes",,,"Yes",
81,,,,,,"Yes",,,,,,,,3.1,40,,,,"Yes",,,"Yes",
82,,,"Yes",,"Yes",,,,,"Yes",,,,5,47,,,,"Yes",,,"Yes",
83,,,,,,,,,,"Yes",,,,1.6,58,,,"Yes",,,"Yes",,
85,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
86,,,,,"Yes",,,"Yes","Yes","Yes",,,,10.2,19,"Yes",,,,,,,"Yes"
88,,,,"Yes",,,,,,,,,"Yes",6.4,11,"Yes",,,,,,,"Yes"
89,,,,,,,,"Yes",,,,,,1.5,64,,,"Yes",,,"Yes",,
90,,,,,,,,,,,,"Yes",,1.7,61,,,"Yes",,,"Yes",,
93,"Yes",,,,,,,"Yes",,,,,"Yes",7.7,17,"Yes",,,,,,,"Yes"
94,"Yes",,,,,"Yes",,,,,,,"Yes",9.3,22,"Yes",,,,,,,"Yes"
97,,,,,"Yes",,,,"Yes",,,,,7.1,13,"Yes",,,,,,,"Yes"
98,"Yes","Yes",,"Yes",,,,,,"Yes",,,,6.1,9,"Yes",,,,,,,"Yes"
99,,,"Yes",,,,,"Yes",,,,,,2.7,64,,,"Yes",,,"Yes",,
100,"Yes","Yes",,,,,,,,,,,,3.2,45,,,,"Yes",,,"Yes",
101,,,,,,,,,,,,"Yes",,1.7,67,,,"Yes",,,"Yes",,
102,,,"Yes",,"Yes",,,,"Yes",,"Yes","Yes",,14.1,76,,"Yes",,,,,,"Yes"
103,,,,,"Yes",,"Yes",,,,,,,3.6,46,,,,"Yes",,,"Yes",
104,,,"Yes",,,,,"Yes","Yes",,,,,7.6,18,"Yes",,,,,,,"Yes"
105,,,,,,,,,,,,"Yes",,1.7,62,,,"Yes",,,"Yes",,
106,,,,,"Yes",,,,,,,,,2.2,75,,,"Yes",,,"Yes",,
107,"Yes",,,,,,,,,"Yes",,,,2.7,52,,,"Yes",,,"Yes",,
108,,,"Yes",,"Yes",,,,,,,"Yes","Yes",10.2,2,"Yes",,,,,,,"Yes"
110,,"Yes",,,,,,,,,,,,2.1,55,,,"Yes",,,"Yes",,
111,,,,"Yes","Yes",,,,"Yes","Yes",,,,10,12,"Yes",,,,,,,"Yes"
112,,,,,,,"Yes",,,,,,,1.4,11,,,,,"Yes","Yes",,
113,,,"Yes",,"Yes",,"Yes",,,,,,,4.8,26,,,,"Yes",,,"Yes",
